"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"530","ZWINT",5,436,-0.123709580545773,0.000999000999000999,0,1,0.00790085392538984,1.61323285102844
"421","CDCA5",4,426,-0.118569242355898,0.000999000999000999,0,1,0.00790085392538984,1.62373900413513
"422","SPC24",4,426,-0.143791316567192,0.000999000999000999,0,1,0.00790085392538984,1.55460405349731
"423","SGO2",4,426,-0.150572269213198,0.000999000999000999,0,1,0.00790085392538984,1.29688000679016
"424","SGO1",4,426,-0.142629639420666,0.000999000999000999,0,1,0.00790085392538984,1.48377895355225
"425","SKA1",4,426,-0.14454415659738,0.000999000999000999,0,1,0.00790085392538984,1.35447788238525
"426","CENPI",4,427,-0.132565426803568,0.000999000999000999,0,1,0.00790085392538984,1.54385900497437
"427","ERCC6L",4,428,-0.136742656895436,0.000999000999000999,0,1,0.00790085392538984,1.63665914535522
"428","KNL1",4,427,-0.129336389715082,0.000999000999000999,0,1,0.00790085392538984,1.30941605567932
"429","SPC25",4,427,-0.149045994021775,0.000999000999000999,0,1,0.00790085392538984,1.55976986885071
"430","CENPK",4,427,-0.134341397202236,0.000999000999000999,0,1,0.00790085392538984,1.34956979751587
"212","CENPM",2,190,-0.179374424398059,0.000999000999000999,0,1,0.00790085392538984,1.4949939250946
"431","CENPU",4,428,-0.126091070788072,0.000999000999000999,0,1,0.00790085392538984,1.49007487297058
"432","KIF18A",4,428,-0.124032277002524,0.000999000999000999,0,1,0.00790085392538984,1.28793692588806
"327","NUF2",3,365,-0.155199095762709,0.000999000999000999,0,1,0.00790085392538984,1.5146541595459
"433","CENPL",4,427,-0.135121747831953,0.000999000999000999,0,1,0.00790085392538984,1.30379796028137
