"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"31798","SIPA1",3,452,-0.0674295641245144,0.037,4.51191306114197
"31799","TPSAB1",3,155,-0.0397687249817595,0.298,4.69900488853455
"21026","MMP16",2,15,-0.15649215928719,0.338,4.90664601325989
"21027","MMP17",2,8,-0.214285714285714,0.381,4.32923293113708
"31800","MMP25",3,162,-0.0191557704686746,0.38,4.72559380531311
"31801","GET4",3,374,-0.0521008745843971,0.126,4.22888779640198
"4280","WRB",4,781,-0.0141988048662672,0.302,4.06024599075317
"21028","ALG2",2,3,-0.816496580927726,0.339,4.60313320159912
"31802","SPINT2",3,159,-0.0845084725074162,0.087,4.67533302307129
"31803","HPN",3,73,-0.23933675592562,0.01,4.17973303794861
"31804","RASSF4",3,163,-0.044138139972918,0.254,4.7720057964325
"31805","RASSF2",3,163,-0.0704512618798499,0.145,4.80347394943237
"4281","BHMT2",4,1023,-0.00100471867908819,0.487,4.17367100715637
"21029","PMVK",2,33,0.0458734902135984,0.625,4.45829010009766
"31806","TFEC",3,552,-0.0546644712568447,0.053,3.82206702232361
"31807","ATP2B1",3,1316,-0.0439042420929057,0.023,4.52442908287048
"31808","PAX5",3,725,-0.0609272608739611,0.017,4.30856895446777
"31809","USP28",3,1240,-0.00157266156482054,0.467,4.0111780166626
"31810","TLR5",3,1059,0.0369171796350337,0.936,4.38075304031372
"31811","SDF4",3,249,0.000821962100352136,0.511,4.85476613044739
"31812","HGSNAT",3,11,-0.211554354139178,0.238,4.62108612060547
"31813","NARS2",3,42,-0.168502417023882,0.098,4.49126386642456
"31814","HERPUD1",3,280,0.0880822082015529,0.965,3.79540514945984
"21030","FAM217B",2,10,-0.149071198499986,0.401,4.18518710136414
"31815","NDUFA4L2",3,244,-0.125979304369939,0.006,4.77037000656128
"31816","MDH1B",3,349,0.0222294360179875,0.692,4.39297199249268
"31817","HTATIP2",3,346,-0.00984144841300814,0.413,4.82612681388855
"31818","PHB2",3,565,-0.00884790347540788,0.396,4.42709612846375
"21031","DTNB",2,45,-0.0616887090864499,0.332,3.84878301620483
"21032","TAOK3",2,19,-0.180246023478625,0.276,4.40824699401855
"21033","TAOK2",2,19,0.07209840939145,0.633,4.44756603240967
"4282","MISP3",4,1518,-0.0267125878361438,0.103,4.2859799861908
"31819","TMEM70",3,252,-0.0862410156729466,0.048,4.78940010070801
"31820","CAND2",3,547,-0.0731556987035764,0.019,4.39715480804443
"127","GJA4",1,0,NA,1,4.31550407409668
"31821","URB1",3,661,0.0598421558728032,0.97,4.27086186408997
"31822","SENP8",3,353,0.00551918139842309,0.561,3.74497199058533
"21034","DDI2",2,144,0.0245615547037876,0.653,4.64176392555237
"31823","ATP7B",3,8,-0.0714285714285714,0.482,4.80297803878784
"31824","IKZF1",3,366,0.00284711509749137,0.532,3.73286199569702
"21035","HP1BP3",2,55,-0.10586030256538,0.199,4.24887490272522
"31825","NFKBIZ",3,972,0.0423289982418405,0.955,4.39524793624878
"31826","BEX3",3,1109,0.0385846681881126,0.943,3.98582887649536
"31827","MAGEH1",3,702,0.0174677609601586,0.718,4.29303288459778
"31828","FAIM",3,563,-0.0596165006257729,0.033,4.54899311065674
"31829","BEX1",3,818,-0.00786016697261371,0.41,4.35140109062195
"31830","RIT1",3,752,-0.000936455452029479,0.479,5.05140209197998
"21036","PNISR",2,18,0.156671997313474,0.814,3.97162222862244
"21037","ZFAND6",2,6,-0.547722557505166,0.141,4.01678395271301
"21038","PSPC1",2,19,-0.108147614087175,0.38,4.37107801437378
"21039","MATR3",2,20,-0.169277791692336,0.226,3.97158288955688
"31831","CIB2",3,623,-0.0521726204360525,0.058,4.24612402915955
"31832","CIB1",3,623,-0.0485956533150695,0.069,3.87409996986389
"31833","NCS1",3,670,-0.0412112163394646,0.09,4.3284740447998
"31834","HPCAL1",3,623,-0.0519000896077872,0.062,4.3276219367981
"31835","ATP2B4",3,999,-0.0529862760707709,0.026,3.99677801132202
"31836","CABP4",3,683,-0.0429315103411622,0.076,4.29701900482178
"31837","PVALB",3,623,-0.0557155212035024,0.046,3.85342717170715
"31838","EFCAB6",3,623,-0.0489703832039344,0.066,4.28503584861755
"31839","VSNL1",3,623,-0.048697852375669,0.068,4.33959102630615
"31840","CALB2",3,623,-0.0490385159110007,0.068,3.85910201072693
"31841","EFCAB2",3,623,-0.0664123562129183,0.029,4.34667110443115
"31842","EFCAB11",3,623,-0.055034194132839,0.052,3.85166192054749
"31843","CALML4",3,623,-0.0605188770516796,0.041,4.31714415550232
"31844","ZDHHC21",3,445,-0.0631359500287064,0.044,4.94104099273682
"31845","NOSIP",3,445,-0.0462135777447974,0.098,4.51365280151367
